SmallDB, MediumDB, LargeDB
7.117274, 25.207814, 65.569621
7.140447, 24.923295, 66.069864
6.858521, 24.572281, 63.835529
7.809304, 23.346287, 64.871649
7.998185, 22.609164, 62.898521
8.196244, 21.951087, 64.946508
7.865648, 22.473891, 69.963308
7.896326, 22.925163, 64.367511
8.068375, 22.043479, 64.819768
7.876539, 22.594817, 64.919001
7.428053, 23.375051, 66.261332
6.77175, 24.00761, 65.446744
6.83636, 23.885693, 66.304623
6.4711, 24.729725, 65.561107
6.5094, 25.227203, 65.201537
6.534998, 24.309202, 65.145983
6.511395, 24.613228, 65.468645
6.768654, 23.987282, 64.169374
6.835839, 24.103899, 63.564517
6.929164, 23.440793, 63.336874
7.937624, 22.807293, 63.585849
8.529187, 22.100265, 65.316614
8.473151, 21.936631, 66.618231
8.482167, 22.938757, 69.120414
8.63397, 22.885379, 65.333777
8.416144, 24.124467, 66.922719
7.903038, 22.341234, 66.64474
7.542265, 22.691329, 65.898348
7.728032, 23.107374, 64.417137
8.346634, 22.298997, 65.706664
8.617549, 22.462182, 66.194924
8.656572, 22.303406, 65.931944
8.653187, 22.425963, 66.478302
8.787548, 22.619144, 67.466583
8.875773, 22.357266, 67.323746
8.934711, 22.417138, 67.896385
8.78969, 22.297335, 66.384417
8.818965, 22.029115, 64.762284
7.573033, 23.324359, 65.830325
7.786801, 24.381619, 65.304718
6.51976, 23.980232, 65.005349
7.433433, 23.079552, 64.975964
7.124769, 24.15723, 65.680819
6.950814, 24.282155, 66.124305
6.819729, 24.846487, 65.675347
6.866637, 24.151361, 64.985823
6.531331, 24.280171, 63.511385
6.998172, 23.94677, 66.829088
7.854638, 24.162251, 68.043271
7.128113, 24.470446, 64.922587
