SmallDB, MediumDB, LargeDB
7.172919, 24.189787, 63.991672
7.796994, 24.550438, 68.63158
7.259551, 23.7515, 64.508766
7.541015, 23.618953, 62.408702
7.814005, 23.189823, 62.837399
8.284762, 22.277944, 64.148062
8.994094, 21.981059, 73.495767
8.118001, 22.38944, 61.93554
8.732396, 22.305965, 63.55662
8.679538, 22.258968, 64.552218
8.430673, 22.283844, 64.151262
7.185635, 23.767289, 64.749918
7.002561, 23.88436, 64.672061
7.358697, 24.242195, 64.504952
7.074836, 24.147079, 64.703079
6.94198, 24.111241, 64.240108
7.099392, 23.880602, 63.370877
7.627537, 23.126875, 62.697032
8.026812, 22.428624, 63.102568
9.010995, 22.319643, 64.141843
8.914106, 21.933653, 64.359032
8.349372, 22.67263, 63.759925
7.012492, 23.790204, 63.598283
7.435629, 23.657216, 64.463767
7.03874, 23.989966, 64.196538
7.120852, 24.022677, 63.370028
7.364618, 23.494803, 62.069724
8.265084, 22.304534, 63.572686
8.534939, 21.614428, 64.066005
8.638651, 22.215469, 65.935821
8.950934, 22.124619, 64.09994
8.480396, 22.62323, 67.710621
8.572028, 23.796306, 66.765529
8.826543, 21.868992, 65.721435
8.666303, 23.547473, 67.869897
8.805864, 23.485426, 66.843845
8.748046, 23.599599, 66.692705
8.823115, 23.573872, 66.437127
8.757935, 23.69705, 66.847452
8.892366, 23.773252, 66.694567
9.669995, 23.910861, 65.892754
8.52484, 23.701989, 67.292195
8.483634, 23.579303, 65.63296
8.10043, 22.197226, 62.321559
8.790626, 21.65289, 63.397164
8.503831, 22.346524, 67.12454
9.105203, 23.065434, 68.274907
9.83364, 22.439526, 67.033492
9.639799, 22.248252, 65.133399
8.77673, 22.36563, 64.577545
