SmallDB, MediumDB, LargeDB
7.482729, 25.026127, 67.049232
7.660731, 25.10836, 65.488778
7.206937, 24.733504, 66.161496
7.430784, 24.443457, 65.51664
7.846613, 23.262125, 64.944109
8.0705, 22.900016, 66.987081
9.065384, 24.348192, 72.568705
7.094559, 23.666117, 62.078106
7.749283, 22.620337, 63.138522
8.401673, 21.734052, 67.70905
8.302101, 23.323171, 68.275551
8.381996, 23.617748, 67.172845
8.376438, 24.226797, 67.208622
8.760618, 24.331351, 63.712337
8.065913, 21.838958, 62.884801
7.362377, 23.113452, 62.571766
8.07545, 22.748666, 63.70197
8.443913, 22.084435, 63.168461
6.992261, 23.628389, 63.953997
7.4885, 25.630462, 65.24874
6.959118, 24.876303, 65.121955
7.305051, 24.870543, 65.299202
7.354723, 24.668117, 65.237619
7.251399, 24.546471, 64.559552
7.210814, 24.367641, 66.209983
7.301715, 25.09059, 69.231239
7.258193, 27.76337, 71.971785
9.011537, 25.372744, 66.389781
7.388915, 23.169188, 64.908692
7.677051, 24.716629, 65.798593
7.577045, 24.435395, 65.63457
8.010129, 23.83363, 66.902951
8.36193, 23.932445, 66.363932
8.495659, 23.90359, 64.694496
8.538228, 22.8745, 64.585473
8.224968, 22.347664, 64.5115
7.683623, 23.645913, 65.230834
7.016255, 24.220119, 65.680018
7.113005, 24.345882, 65.707468
6.979417, 24.429937, 65.171274
7.470598, 25.103347, 65.176092
7.551729, 24.142804, 64.532399
7.341569, 24.339861, 64.364447
7.076857, 24.739572, 65.101624
7.453867, 24.950292, 64.884031
8.001614, 24.520285, 64.31192
8.127308, 23.316924, 62.469864
8.927691, 21.949507, 73.088063
8.262497, 26.713987, 71.736405
7.416469, 27.284414, 71.762514
