SmallDB, MediumDB, LargeDB
2.073111, 1.236829, 41.028275
2.308791, 21.769227, 49.077674
1.862768, 1.07641, 40.955809
1.346455, 18.035165, 47.601167
2.737271, 21.826713, 54.971168
1.204429, 0.979879, 40.294626
1.66574, 18.4455, 46.433159
6.018396, 21.748528, 52.00914
2.559339, 0.964832, 47.932739
1.396658, 0.989378, 48.077468
6.811427, 22.207005, 46.314387
2.239451, 22.260304, 45.816707
1.304606, 0.99623, 1.513065
1.077683, 18.172731, 47.68729
2.133584, 21.506547, 49.781891
2.342083, 18.834376, 52.878954
2.637825, 19.808035, 41.367379
2.407645, 23.573125, 52.69523
4.021328, 24.784737, 52.065905
1.502476, 24.002004, 43.275513
1.564561, 21.602685, 1.759675
1.324263, 22.969739, 43.741221
2.317668, 22.082542, 54.728319
1.616258, 22.093863, 55.346763
2.618689, 20.841306, 50.029595
1.250064, 21.847132, 41.715392
1.486816, 18.190435, 54.882044
2.364826, 1.018221, 40.616109
3.292368, 19.343699, 51.15166
3.072105, 22.731424, 52.899514
2.303752, 20.558507, 50.643752
1.58517, 1.482308, 1.971401
1.58516, 18.448967, 49.124255
1.874109, 18.468104, 52.23334
1.919334, 20.115319, 42.393026
3.035969, 23.282352, 50.739511
2.209575, 23.582513, 49.443851
2.016676, 18.455181, 51.01238
1.257498, 0.966645, 1.733356
1.085848, 19.834156, 42.211148
1.526049, 20.045218, 52.787116
1.406757, 21.369871, 1.945964
1.170676, 22.153186, 54.157433
2.029479, 1.431112, 44.738126
1.214148, 25.020969, 42.526778
2.84401, 21.770441, 48.074756
3.550851, 21.722041, 47.586042
1.466599, 18.298037, 46.855019
2.90788, 20.904342, 46.963351
4.353298, 21.911333, 49.702516
