SmallDB, MediumDB, LargeDB
8.57985, 24.339012, 68.044706
8.244187, 23.953647, 63.362581
8.037574, 22.851564, 63.811085
8.519327, 22.425844, 63.882886
7.360007, 22.494543, 65.02494
8.329395, 23.352965, 65.915699
8.458727, 24.415283, 67.488467
8.386231, 24.103698, 67.08594
8.379217, 23.472245, 67.46859
8.177614, 24.680597, 66.440895
8.163367, 24.353028, 62.317268
8.492538, 22.033348, 64.702932
7.624689, 23.206632, 67.327369
7.131434, 24.364631, 65.465577
8.058252, 23.274267, 63.963656
7.123138, 23.804523, 63.438601
6.860291, 28.01394, 63.706968
7.126877, 24.672131, 63.894938
6.976476, 25.159798, 64.87317
6.895558, 24.989881, 64.076744
6.899484, 24.072209, 63.017872
7.502051, 23.754903, 62.123551
8.131971, 22.614706, 62.639398
8.666822, 22.001519, 63.693684
7.20478, 23.85599, 65.005728
8.20803, 23.055665, 64.125459
7.642642, 23.654438, 65.271151
7.401706, 24.378769, 66.457614
7.38797, 23.728373, 64.720622
7.237021, 24.802937, 65.546182
7.036439, 25.117098, 65.659444
7.157273, 24.846166, 65.286039
6.91259, 25.29595, 64.833081
6.95164, 24.410698, 64.032807
6.783229, 24.362228, 63.876225
7.264452, 24.096668, 63.525088
6.94512, 23.586572, 61.871461
8.033228, 22.5989, 62.316438
8.882363, 21.795159, 63.384097
7.999626, 22.753627, 63.496626
7.730806, 23.851323, 63.93042
7.149419, 23.528343, 63.19163
6.856025, 25.23588, 64.418876
7.003088, 24.077893, 63.656822
7.205243, 24.209558, 63.552148
7.077905, 23.640412, 61.862095
7.911964, 23.419643, 62.075353
8.092127, 22.487045, 64.997263
8.695215, 22.105667, 64.304036
8.928368, 22.471455, 65.126632
