SmallDB, MediumDB, LargeDB
1.141652, 4.715315, 18.340672
1.380128, 3.672718, 20.345737
1.358747, 3.339847, 15.101022
1.904948, 5.61751, 16.286936
1.31735, 3.393666, 18.878537
1.200573, 3.856883, 17.618814
2.231828, 4.340636, 14.580158
1.853422, 4.349382, 17.463744
1.1671, 3.708466, 18.447411
1.384265, 3.333024, 14.892893
1.57396, 5.499893, 15.458318
1.117447, 3.636822, 18.615486
1.171729, 3.640329, 16.202819
1.954199, 4.632943, 14.487465
1.466288, 4.304248, 17.388525
1.104292, 3.761965, 17.801595
1.807065, 4.245198, 14.298353
2.032776, 4.693195, 16.059552
1.216552, 3.495998, 18.727313
1.314846, 3.358723, 15.402213
1.310287, 5.168954, 15.751116
1.285331, 3.745666, 19.303739
1.15086, 3.438822, 18.202754
2.132492, 4.291806, 13.892405
1.796565, 5.608614, 16.924287
1.212815, 4.030928, 20.06927
1.169013, 3.357982, 17.08707
2.128165, 5.77277, 16.595373
1.860185, 5.463974, 16.534107
1.254974, 3.86593, 19.612256
1.125983, 3.286066, 17.008645
1.788339, 5.17761, 14.40343
1.234415, 5.114911, 17.845427
1.122376, 3.404759, 18.234834
1.620046, 3.810717, 14.261955
1.844826, 5.515219, 16.120017
1.176969, 3.465792, 19.347923
1.185844, 3.21239, 15.886739
2.11498, 4.859386, 14.973944
1.158905, 4.248705, 18.551727
1.147873, 3.374222, 18.187768
1.68691, 4.16563, 14.624583
2.068523, 5.499872, 15.721079
1.198469, 3.323247, 19.486452
1.495402, 3.33107, 17.779505
1.854963, 4.226773, 14.523423
1.655862, 6.019622, 17.76148
1.126985, 3.271811, 19.181763
1.285871, 3.829742, 16.448238
2.280519, 4.511286, 14.985677
