SmallDB, MediumDB, LargeDB
1.435161, 6.27322, 14.195038
1.350925, 5.959891, 13.711341
1.685835, 7.054469, 13.22569
1.286806, 6.621918, 14.725721
1.264164, 6.225323, 13.967466
1.537381, 6.476537, 13.023456
1.316361, 6.799556, 14.392774
1.296705, 6.42901, 13.841452
1.396499, 6.238295, 13.004833
1.425072, 6.791692, 13.316929
1.285583, 6.3855, 13.777203
1.448155, 6.185258, 13.140763
1.375801, 6.952671, 13.696993
1.30525, 6.206738, 13.945885
1.435582, 6.258874, 13.269221
1.542971, 6.685645, 13.271074
1.32719, 6.220874, 13.625371
1.384026, 5.967123, 13.134742
1.466339, 6.8776, 13.056696
1.284642, 6.310009, 13.760663
1.361935, 5.995846, 13.179727
1.5049, 6.780901, 13.181199
1.308436, 6.39684, 13.562145
1.355994, 5.887314, 13.026873
1.415825, 6.717484, 13.225671
1.27868, 6.140426, 13.467068
1.411647, 5.921038, 13.076354
1.399985, 6.809425, 13.569507
1.42439, 6.233678, 13.71595
1.417789, 6.203983, 13.332439
1.539985, 6.667833, 13.196137
1.27305, 6.269224, 13.48397
1.36451, 5.909116, 13.148407
1.412249, 6.67732, 13.18153
1.33791, 6.093408, 13.356705
1.410575, 6.082889, 13.221092
1.405676, 6.706244, 13.110988
1.332812, 6.168907, 13.150773
1.411677, 6.209853, 13.006255
1.34323, 6.657835, 13.051899
1.372515, 6.012978, 13.626404
1.407239, 6.243325, 13.029889
1.282057, 6.53699, 13.44032
1.345985, 6.46086, 13.544892
1.431655, 6.252222, 13.103014
1.286064, 6.452273, 13.375138
1.336507, 6.092195, 15.316188
1.410485, 6.215484, 13.228756
1.436865, 6.759352, 13.178564
1.37045, 5.995527, 14.256793
