SmallDB, MediumDB, LargeDB
1.428413, 3.315626, 4.98283
1.349287, 2.838722, 15.66755
1.582568, 6.18264, 4.301599
1.354125, 2.918159, 14.418228
3.697071, 9.220942, 14.872859
4.047188, 3.180946, 13.203319
1.401925, 3.215951, 8.185586
2.11347, 7.111497, 13.091744
4.179363, 5.086821, 6.509726
1.617262, 3.211612, 13.19789
2.153725, 7.875882, 13.298787
3.391054, 7.387218, 15.44655
1.358163, 5.684908, 15.0953
3.548907, 3.427341, 21.509419
2.152863, 3.527697, 5.113401
1.511216, 2.608837, 13.901392
2.076082, 6.708231, 12.709756
1.412643, 6.156692, 6.568803
1.916577, 3.117628, 4.68577
1.46446, 6.054554, 14.318373
1.549687, 3.336866, 20.576501
1.897201, 4.187237, 13.224048
1.422241, 6.338379, 23.40255
1.49678, 3.352664, 4.283946
1.649222, 3.267226, 7.295056
1.585755, 3.389903, 4.690097
1.611061, 6.181909, 23.327993
1.52403, 2.646096, 14.228106
1.889836, 6.621641, 17.246421
4.958915, 8.230549, 12.709236
3.281241, 4.14583, 17.88327
1.80524, 6.847441, 13.088427
1.526394, 3.144247, 4.488155
1.344147, 2.704804, 5.206113
1.576507, 4.762832, 6.951002
1.517427, 2.767801, 5.004861
1.423795, 2.633883, 5.020519
1.950609, 4.746013, 12.986278
1.4921, 5.941423, 13.98102
1.629014, 3.22724, 13.036653
1.544538, 4.371669, 13.896764
1.467456, 9.531206, 13.950031
1.665952, 2.843181, 5.304615
1.483105, 2.579413, 4.230588
4.005231, 4.791627, 14.034958
1.497551, 3.535823, 24.05427
3.387698, 2.721797, 4.889597
3.790655, 10.604692, 12.840098
1.482544, 2.63697, 14.566433
1.74075, 3.74003, 5.13414
