SmallDB, MediumDB, LargeDB
1.284688, 3.097733, 7.643295
1.260943, 2.49657, 5.481334
1.169915, 2.528659, 5.4466
1.314252, 2.685019, 5.839457
1.240216, 2.417414, 5.323311
1.186166, 2.261395, 5.515797
1.224156, 2.654472, 6.708715
1.641858, 2.733488, 5.489298
1.056996, 2.216983, 5.612706
1.233042, 2.309433, 6.121739
1.36201, 2.672736, 5.54425
1.148575, 2.127457, 5.356392
1.216541, 2.358304, 5.78162
1.334219, 2.349348, 5.826202
1.151141, 2.170907, 5.199101
1.230998, 2.50206, 5.515587
1.481451, 2.78326, 5.850918
1.306057, 2.359346, 5.085261
1.15062, 2.306509, 5.579065
1.225288, 2.651306, 6.043694
1.333598, 2.462357, 5.84129
1.392237, 2.734741, 5.693256
1.169485, 2.382569, 6.037293
1.181938, 2.484147, 5.475072
1.400352, 2.812104, 6.013569
1.196154, 2.303713, 5.77108
1.131123, 2.397296, 5.488677
1.094816, 2.197256, 5.375588
1.195853, 2.402666, 5.557184
1.326004, 2.630569, 5.683157
1.181195, 2.149507, 5.154519
1.240085, 2.273227, 5.558877
1.208046, 2.605983, 5.839787
1.333187, 2.380375, 5.242202
1.122107, 2.387079, 5.766342
1.17781, 2.355138, 6.187801
1.407315, 2.716337, 5.30069
1.109393, 2.15059, 5.46869
1.347353, 2.558134, 5.774696
1.292872, 2.397877, 5.397659
1.129911, 2.159146, 5.319815
1.21571, 2.505426, 5.52245
1.280089, 2.812114, 5.768325
1.265792, 2.383751, 5.235218
1.16176, 2.35586, 5.690752
1.209748, 2.549067, 6.146404
1.464731, 2.563063, 5.233405
1.214207, 2.310276, 5.843915
1.235035, 2.327638, 6.318463
1.365737, 2.766219, 5.344992
