SmallDB, MediumDB, LargeDB
1.517194, 5.776453, 14.239236
1.651444, 6.604683, 13.17195
5844.721172, 7.158186, 93.444225
1.816161, 2.892335, 14.906151
1.990084, 3.257394, 6.18768
1.640053, 3.473817, 16.223764
1.859081, 4.871419, 15.717611
2.490707, 7.832371, 91.205717
1.58967, 3.548797, 6.049923
6017.41383, 6.677734, 13.565829
1.895099, 3.861078, 13.187946
1.613665, 3.342011, 13.991131
1.771258, 3.51227, 80.367911
1.767311, 3.820544, 5.268119
1.547502, 3.896274, 4.998638
1.377975, 5.683573, 6.226693
2.180189, 3.642622, 6.983202
5761.315451, 4.356943, 13.820346
2.017176, 6.509552, 15.101834
1.555727, 3.989149, 79.319517
5678.313611, 6.578913, 76.503492
1.431636, 6.419325, 13.788721
5718.785973, 3.452841, 13.085844
1.690329, 4.753274, 5.744261
1.815482, 6.878422, 77.63623
1.968276, 3.359488, 12.80879
1.395239, 2.972637, 4.376182
1.501456, 2.960154, 13.504835
1.412461, 3.542769, 12.769998
1.826613, 3.476896, 12.387815
1.69642, 6.378, 78.254794
1.634134, 3.33954, 5.129183
1.798851, 5.931508, 6.14181
1.551259, 4.272859, 13.660966
1.479777, 3.222713, 77.442098
1.747074, 3.560582, 13.460043
5658.517525, 4.108062, 13.98308
1.531032, 3.142323, 5.196811
1.469367, 4.050025, 13.420001
5688.73368, 3.487397, 13.901319
1.719914, 3.609885, 76.443893
1.42744, 2.996552, 76.719089
1.480137, 2.800087, 4.480848
1.377577, 5.980864, 13.74
1.860546, 38.415865, 14.596315
5744.639284, 39.74091, 82.928265
1.506777, 6.215724, 15.086481
1.694999, 4.242616, 13.128953
1.478084, 2.831437, 15.133789
1.622002, 3.547962, 13.968467
